N°,ZONA,DISTRITO,PROVINCIA,CANTON,PARROQUIA,TIPO_EDUCACION,AMIE,INSTITUCION,SOSTENIMIENTO,JURISDICCION,REGIMEN,ZONA_INEC,NIVEL_DE_EDUCACION,NRO_NINOS,AUX_ANIO_DOTACION,AUX_T_IE,MD_ANIO_DOTACION,MD_PARALELOS,MD_MONTO_USD,M_ANIO_DOTACION,M_TIPO_DE_AMBIENTE,M_MONTO_USD,JE_ANIO_DOTACION,JE_CANTIDAD,JE_MONTO_USD,AUX_IE_MATERIAL,SAE,REVISION_DNIF,DIMENSIONES,LONGITUD,LATITUD
1,Zona 5,02D01,BOLIVAR,GUARANDA,ANGEL POLIBIO CHAVES,Ordinario,02H00015,UNIDAD EDUCATIVA ANGEL POLIBIO CHAVES,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,151,2027,1,2027,8,22549.92,2027,8,10080,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.0011543927,-1.59701734077
2,Zona 5,02D01,BOLIVAR,GUARANDA,JULIO E. MORENO (CATANAHUAN GRANDE),Ordinario,02H00126,EEB CARLOS  GUALBERTO GALARZA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,11,2027,1,2027,2,5637.48,2027,2,2520,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,100 metros cuadrados,-79.0328664013,-1.59213839271
3,Zona 5,02D01,BOLIVAR,GUARANDA,SALINAS,Ordinario,02H00131,UNIDAD EDUCATIVA DEL MILENIO INTERCULTURAL SALINAS,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,30,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.0163235546,-1.40442369857
4,Zona 5,02D01,BOLIVAR,GUARANDA,SIMIATUG,Ordinario,02H00185,UNIDAD EDUCATIVA FELIX GRANJA GAMAZO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,10,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.9606467519,-1.29023555644
5,Zona 5,02D01,BOLIVAR,GUARANDA,SIMIATUG,Ordinario,02H00207,UNIDAD EDUCATIVA SIMON RODRIGUEZ,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,9,2027,1,2027,2,5637.48,2027,2,2520,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,1864m2.,-79.0167964428,-1.29770357749
6,Zona 5,02D01,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,Ordinario,02H00219,UNIDAD EDUCATIVA  DIEGO DE ALMAGRO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,82,2027,1,2027,4,11274.96,2027,4,5040,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,100 metros ,-79.2406007824,-1.23302305514
7,Zona 5,12D06,LOS RIOS,BUENA FE,PATRICIA PILAR,Ordinario,12H01700,CENTINELA DE LOS RIOS,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,89,2027,1,2027,3,8456.22,2027,3,3780,,0.0,0.0,ML_Mo,,,,-79.3700614582,-0.572009319415
8,Zona 5,12D02,LOS RIOS,URDANETA,RICAURTE,Ordinario,12H01018,UNIDAD EDUCATIVA 28 DE MAYO,FISCAL,Intercultural,COSTA,Rural,"Inicial, Educacion Basica y Bachillerato",54,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,,,,-79.4661924782,-1.57271143579
9,Zona 5,02D03,BOLIVAR,SAN MIGUEL,BALSAPAMBA,Ordinario,02H00543,UNIDAD EDUCATIVA 8 DE  NOVIEMBRE,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,28,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.1741606527,-1.76503749918
10,Zona 3,05D01,COTOPAXI,LATACUNGA,ELOY ALFARO (SAN FELIPE),Ordinario,05H00024,ESCUELA DE EDUCACION BASICA CLUB ROTARIO,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,73,2027,1,2027,3,8456.22,2027,3,3780,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,12x8,-78.6155360921,-0.943473421139
