zona,distrito,provincia,canton,parroquia,tipo_educacion,amie,institucion,sostenimiento,jurisdiccion,regimen,zona_inec,nivel_educacion,nro_niños_iniciales,aux_año_dotacion,aux_t_ie,md_año_dotacion,md_paralelos,md_monto_usd,m_año_dotacion,m_tipo_ambiente,m_monto_usd,je_año_dotacion,je_cantidad,je_monto_usd,aux_ie_material,latitud,longitud
5,02D01,BOLIVAR,GUARANDA,ANGEL POLIBIO CHAVES,Ordinario,02H00015,UNIDAD EDUCATIVA ANGEL POLIBIO CHAVES,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,156,2027,1,2027,8,23346.08,2027,8,12224.0,0,0,,ML_Mo,-1.597017341,-79.00115439
5,02D01,BOLIVAR,GUARANDA,JULIO E. MORENO (CATANAHUAN GRANDE),Ordinario,02H00126,EEB CARLOS  GUALBERTO GALARZA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,12,2027,1,2027,2,5836.52,2027,2,3056.0,2027,1,5748.0,ML_Mo_JE,-1.592138393,-79.0328664
5,02D01,BOLIVAR,GUARANDA,SALINAS,Ordinario,02H00131,UNIDAD EDUCATIVA DEL MILENIO INTERCULTURAL SALINAS,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,33,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-1.404423699,-79.01632355
5,02D01,BOLIVAR,GUARANDA,SIMIATUG,Ordinario,02H00185,UNIDAD EDUCATIVA FELIX GRANJA GAMAZO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,14,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-1.290235556,-78.96064675
5,02D01,BOLIVAR,GUARANDA,SIMIATUG,Ordinario,02H00207,UNIDAD EDUCATIVA SIMON RODRIGUEZ,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,10,2027,1,2027,2,5836.52,2027,2,3056.0,2027,1,5748.0,ML_Mo_JE,-1.297703577,-79.01679644
5,02D01,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,Ordinario,02H00219,UNIDAD EDUCATIVA  DIEGO DE ALMAGRO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,84,2027,1,2027,4,11673.04,2027,4,6112.0,2027,1,5748.0,ML_Mo_JE,-1.233023055,-79.24060078
5,02D02,BOLIVAR,CHILLANES,SAN JOSE DEL TAMBO (TAMBOPAMBA),Ordinario,02H00333,EEB DARIO C GUEVARA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB,69,2027,1,2027,3,8754.78,2027,3,4584.0,0,0,0.0,ML_Mo,-1.955687586,-79.23755127
5,02D03,BOLIVAR,CHIMBO,ASUNCION (ASANCOTO),Ordinario,02H00363,UNIDAD EDUCATIVA LA ASUNCION,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,20,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-1.666640278,-79.03867043
5,02D03,BOLIVAR,SAN MIGUEL,BALSAPAMBA,Ordinario,02H00543,UNIDAD EDUCATIVA 8 DE  NOVIEMBRE,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,27,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-1.765037499,-79.17416065
3,05D01,COTOPAXI,LATACUNGA,ELOY ALFARO (SAN FELIPE),Ordinario,05H00024,ESCUELA DE EDUCACION BASICA CLUB ROTARIO,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,71,2027,1,2027,3,8754.78,2027,3,4584.0,2027,1,5748.0,ML_Mo_JE,-0.943473421,-78.61553609
3,05D01,COTOPAXI,LATACUNGA,IGNACIO FLORES (PARQUE FLORES),Ordinario,05H00032,UNIDAD EDUCATIVA ONCE DE NOVIEMBRE,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,155,2027,1,2027,6,17509.56,2027,6,9168.0,2027,1,5748.0,ML_Mo_JE,-0.938603632,-78.60864952
3,05D01,COTOPAXI,LATACUNGA,ELOY ALFARO (SAN FELIPE),Ordinario,05H00039,UNIDAD EDUCATIVA RAMON PAEZ,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,61,2027,1,2027,3,8754.78,2027,3,4584.0,0,0,0.0,ML_Mo,-0.879484854,-78.64089485
3,05D01,COTOPAXI,LATACUNGA,IGNACIO FLORES (PARQUE FLORES),Ordinario,05H00047,UNIDAD EDUCATIVA DR JOSE MARIA VELASCO IBARRA,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,100,2027,1,2027,4,11673.04,2027,4,6112.0,0,0,0.0,ML_Mo,-0.940211206,-78.6140232
